Cell Line HMSLID	Cell Line Name	ERK1/2 log_{10}(pg/cell)	Akt log_{10}(pg/cell)	ErbB1 log_{10}(pg/cell)	ErbB2 log_{10}(pg/cell)	ErbB3 log_{10}(pg/cell)	ErbB4 log_{10}(pg/cell)	InsR log_{10}(pg/cell)	IGF1R log_{10}(pg/cell)	IGF2R log_{10}(pg/cell)	VEGFR1 log_{10}(pg/cell)	VEGFR2 log_{10}(pg/cell)	VEGFR3 log_{10}(pg/cell)	PDGFRa log_{10}(pg/cell)	PDGFRb log_{10}(pg/cell)	c-Met log_{10}(pg/cell)	c-Kit log_{10}(pg/cell)	EphA2 log_{10}(pg/cell)	Src log_{10}(pg/cell)	TrkA log_{10}(pg/cell)	FGFR1 log_{10}(pg/cell)	FGFR2 log_{10}(pg/cell)	FGFR3 log_{10}(pg/cell)	FGFR4 log_{10}(pg/cell)	EpCAM log_{10}(pg/cell)	pERK1/2 (RnD) log_{10}(a.u.)	pERK1/2 (CST) log_{10}(a.u.)	pAkt log_{10}(a.u.)	pErbB1 log_{10}(a.u.)	pErbB2 log_{10}(a.u.)	pErbB3 log_{10}(a.u.)	pErbB4 log_{10}(a.u.)	pInsR log_{10}(a.u.)	pIGF1R log_{10}(a.u.)	pIGF1R (Y1131) log_{10}(a.u.)	pVEGFR1 log_{10}(a.u.)	pVEGFR2 log_{10}(a.u.)	pVEGFR3 log_{10}(a.u.)	pPDGFRa log_{10}(a.u.)	pPDGFRb log_{10}(a.u.)	pc-Met log_{10}(a.u.)	pc-Kit log_{10}(a.u.)	pEphA2 log_{10}(a.u.)	pSrc log_{10}(a.u.)	pTrkA log_{10}(a.u.)	ER log_{10}(pg/cell)	PR log_{10}(pg/cell)
50208	HCC1428	-2.9757	-1.1205	-1.4031	-1.4121	-1.4733	-2.9197	-4.2121	-1.604	-1.7164	-3.376	-6.1598	-3.7138	-3.7493	-3.575	-4.0736	-6.7618	-3.0772	0.18862	-5.7948	-0.75391	-5.6827	-4.7391	-2.2776	-0.77761	-3.9633	-3.6806	-2.4388	-1.8247	-2.652	-4.284	-2.3644	-4.7903	-4.4321	-2.7371	-4.4331	-2.3914	-4.0995	-5.0244	-3.8722	-2.4773	-2.9033	-4.6471	-2.6982	-3.9337	-2.6322	-2.9914
50579	HCC1500	-2.7887	-1.5218	-2.069	-1.5448	-1.6697	-3.2729	-1.8564	-1.6182	-1.3502	-3.2778	-6.1598	-3.7138	-3.7493	-3.3349	-4.0736	-6.7618	-4.5781	-0.4044	-5.7948	-0.68504	-2.4721	-3.248	-3.5099	-0.90199	-3.6161	-3.6305	-2.3929	-2.146	-1.9962	-4.284	-2.5618	-1.4514	-2.6278	-1.4155	-4.4331	-4.8833	-4.0995	-2.8381	-3.8722	-2.0099	-2.9033	-4.6471	-3.8259	-3.0484	-2.3209	-2.7146
50210	HCC1569	-2.907	-1.5888	-2.0913	0.08263	-1.6209	-4.8305	-4.2121	-1.1962	-1.6773	-3.7141	-6.1598	-3.7138	-3.7493	-5.2009	-1.3738	-6.7618	-1.9371	0.18339	-5.7948	-0.66187	-3.1279	-3.0052	-6.2488	-0.96848	-3.2424	-3.4161	-0.4241	-1.8469	-0.32919	-3.189	-2.4712	-2.4504	-2.2906	-2.7371	-4.4331	-4.8833	-3.3986	-5.0244	-3.8722	-2.5937	-2.9033	-4.6471	-3.4718	-3.9337	-4.2188	-3.5976
50211	HCC1806	-3.4977	-1.9335	-0.88641	-1.8559	-2.2591	-4.8305	-2.8051	-2.2232	-1.8394	-5.1252	-6.1598	-3.7138	-3.7493	-3.8104	-0.57586	-2.91	-1.3919	-0.81631	-5.7948	-0.95294	-3.6737	-3.2868	-6.2488	-0.65616	-4.5767	-3.3727	-2.218	-1.9834	-2.3398	-4.284	-2.9058	-2.4206	-2.7879	-2.7371	-4.4331	-4.8833	-4.0995	-3.2851	-3.8722	-2.6789	-2.9033	-4.6471	-4.1121	-3.9337	-4.5416	-4.3585
50212	HCC1937	-2.761	-1.6363	-0.89854	-1.6209	-2.6375	-4.8305	-2.5694	-2.7146	-2.0325	-5.1252	-6.1598	-3.7138	-3.7493	-5.2009	-0.69946	-6.7618	-0.86927	-0.87576	-5.7948	-0.64742	-3.5113	-3.0722	-6.2488	-0.28054	-4.5767	-2.6714	-0.52853	-2.2819	-2.652	-4.284	-2.2983	-1.5264	-4.4321	-2.7371	-4.4331	-4.8833	-4.0995	-5.0244	-3.8722	-4.7858	-2.9033	-4.6471	-3.9215	-3.9337	-4.1403	-3.9211
50213	HCC1954	-2.8156	-1.5339	-1.2068	0.30716	-1.7906	-4.8305	-4.2121	-2.1146	-1.7768	-5.1252	-6.1598	-3.7138	-3.7493	-5.2009	-0.20047	-4.1036	-1.5626	-0.68791	-5.7948	-0.63108	-5.6827	-4.7391	-6.2488	-0.4542	-3.6731	-3.0225	-0.16817	-0.57234	-0.0684	-1.7788	-1.761	-1.6409	-2.3039	-1.6888	-4.4331	-4.8833	-4.0995	-5.0244	-3.8722	-2.1426	-2.9033	-3.6777	-3.6479	-3.9337	-4.7216	-4.1417
50214	HCC202	-2.6396	-1.0768	-1.1755	-0.0291	-1.682	-4.8305	-2.1296	-2.5164	-1.8851	-3.3247	-6.1598	-3.7138	-3.7493	-3.4612	-4.0736	-6.7618	-1.4234	-0.60149	-5.7948	-0.57833	-2.3809	-3.4492	-3.5974	-0.00351	-3.0248	-2.1153	-0.35886	-1.4141	-0.71373	-4.284	-2.0044	-1.7002	-4.4321	-2.7371	-4.4331	-4.8833	-4.0995	-3.7264	-3.8722	-4.7858	-2.9033	-4.6471	-3.8731	-3.9337	-4.1137	-3.6414
50216	HCC38	-2.7826	-1.5148	-1.3979	-1.384	-1.6134	-4.8305	-2.77	-1.8824	-1.8213	-3.8388	-6.1598	-3.7138	-3.7493	-5.2009	-1.9266	-2.69	-1.1374	-0.55196	-5.7948	-0.58445	-2.8864	-4.7391	-6.2488	-0.11721	-3.5904	-3.0688	-1.1128	-2.0831	-2.0764	-4.284	-2.2563	-2.7147	-2.2685	-2.7371	-4.4331	-4.8833	-4.0995	-5.0244	-3.8722	-4.7858	-2.9033	-4.6471	-3.8648	-3.9337	-4.2737	-3.8755
50219	HCC70	-2.7303	-1.5193	-0.72811	-1.733	-2.0818	-4.8305	-4.2121	-2.1884	-2.0851	-5.1252	-6.1598	-3.7138	-3.2926	-5.2009	-1.0869	-2.2802	-1.9748	-1.1016	-5.7948	-0.89331	-5.6827	-4.7391	-6.2488	-0.61791	-3.3744	-3.5417	-0.54102	-1.1099	-2.652	-4.284	-2.8108	-4.7903	-4.4321	-2.7371	-4.4331	-4.8833	-4.0995	-4.0551	-3.8722	-4.7858	-2.9033	-4.6471	-4.3908	-3.9337	-4.8203	-4.1736
50238	Hs 578T	-2.9783	-1.4128	-0.96357	-1.9398	-4.1577	-4.8305	-4.2121	-2.295	-1.6694	-5.1252	-6.1598	-3.7138	-1.4831	-0.88291	-0.68619	-6.7618	-1.0907	-1.0615	-5.7948	-0.7869	-5.6827	-4.7391	-6.2488	-4.0736	-4.5767	-3.3811	-0.89303	-2.1288	-2.652	-4.284	-4.5767	-1.4362	-4.4321	-1.9988	-4.4331	-4.8833	-4.0995	-2.3768	-2.8055	-4.7858	-2.9033	-4.6471	-4.1203	-3.9337	-5.1871	-4.332
50583	MCF 10A	-3.3755	-1.5922	-0.87648	-1.7586	-2.8868	-4.8305	-4.2121	-1.0071	-1.5911	-5.1252	-6.1598	-3.7138	-3.7493	-5.2009	-0.62903	-6.7618	-1.7583	-0.46491	-5.7948	-0.80292	-5.6827	-3.4862	-6.2488	-2.0151	-4.5767	-3.1524	-1.0162	-1.6955	-2.0913	-4.284	-2.0241	-1.4592	-2.1701	-1.4531	-4.4331	-4.8833	-4.0995	-5.0244	-3.8722	-4.7858	-2.9033	-4.6471	-3.8238	-3.9337	-4.776	-4.2654
