	Cell Line HMS LINCS ID	Cell Line Name	Protein HMS LINCS ID	Protein Name	Ligand Concentration	Conc unit	Measured pAkt:10min log10(a.u.)	Measured pAkt:30min log10(a.u.)	Measured pAkt:90min log10(a.u.)	Measured pErk:10min log10(a.u.)	Measured pErk:30min log10(a.u.)	Measured pErk:90min log10(a.u.)	Control pAkt (a.u.)	Control pErk (a.u.)
95	50131	CAMA-1	200863.0	EFNA1	100.0	ng/ml	3.62158150345	3.76211857053	3.73716607516	1.84641752959	1.84641752959	1.84641752959	3.75351036401	1.88562126646
96	50206	HCC1395	200863.0	EFNA1	1.0	ng/ml	4.02470066823	3.99089180623	4.04327623596	3.36066383399	3.36066383399	3.36066383399	4.01051357359	3.36066383399
97	50206	HCC1395	200863.0	EFNA1	100.0	ng/ml	4.07304891121	4.01240511871	4.04417692594	3.36066383399	3.36066383399	3.36066383399	4.01051357359	3.36066383399
98	50207	HCC1419	200863.0	EFNA1	1.0	ng/ml	4.40903452284	4.239752411	4.50631050339	4.30450134192	4.33630604246	4.37145085197	4.43351337251	4.3597440433
99	50207	HCC1419	200863.0	EFNA1	100.0	ng/ml	4.40342939553	4.44099366684	4.48564030803	4.305290865	4.3355922805	4.41822138705	4.43351337251	4.3597440433
100	50208	HCC1428	200863.0	EFNA1	1.0	ng/ml	3.01708302977	3.01708302977	3.01708302977	2.01645249978	2.01645249978	2.01645249978	3.01708302977	2.11493774959
101	50208	HCC1428	200863.0	EFNA1	100.0	ng/ml	3.01708302977	3.01708302977	3.2236431037	2.01645249978	2.01645249978	3.00478852651	3.01708302977	2.11493774959
102	50210	HCC1569	200863.0	EFNA1	1.0	ng/ml	4.22051581945	4.17552085865	4.13388713038	3.52685805273	3.53722011111	3.56297898341	4.37319526932	3.71356034381
103	50210	HCC1569	200863.0	EFNA1	100.0	ng/ml	4.2702144867	4.11483391154	4.38937630291	3.87570313931	3.52873742044	3.81772629972	4.37319526932	3.71356034381
104	50211	HCC1806	200863.0	EFNA1	1.0	ng/ml	3.82313324591	3.7491131739	3.79408947008	3.42313736871	3.42313736871	3.42313736871	3.90734330881	3.79432112839
105	50211	HCC1806	200863.0	EFNA1	100.0	ng/ml	3.88388397534	3.7186895657	3.77920559464	3.42313736871	3.42313736871	3.42313736871	3.90734330881	3.79432112839
106	50212	HCC1937	200863.0	EFNA1	1.0	ng/ml	3.30857849856	2.90554818096	3.17057030695	2.53544350178	2.53544350178	2.7144379007	3.35104530216	2.62878421355
107	50212	HCC1937	200863.0	EFNA1	100.0	ng/ml	3.28535721743	3.11373417244	3.5313868113	2.53544350178	2.53544350178	3.13767401664	3.35104530216	2.62878421355
108	50213	HCC1954	200863.0	EFNA1	1.0	ng/ml	3.63860205903	3.5762081615	3.66096948761	3.99287105963	3.82542494926	3.8964254583	3.49286175912	3.81323094361
